WORD	FREQ_WORD_in_CORPUS	FREQ_WORD_in_DITRANSITIVE
allocate	14	4
ask	518	12
assign	17	3
award	16	7
bring	461	7
cause	244	8
charge	43	4
cost	102	20
cut	174	2
deal	166	1
deny	51	8
do	2963	10
drop	79	3
feed	63	1
get	3275	20
give	1160	461
grant	26	5
hand	48	5
keep	412	1
leave	583	6
lend	31	7
lose	229	2
make	1951	3
offer	198	43
owe	25	6
pass	189	2
pay	423	13
play	426	1
promise	43	7
read	352	1
sell	136	1
send	346	64
set	323	2
show	639	49
supply	66	1
take	1653	12
teach	92	15
tell	794	128
wish	156	9
write	589	4
