WORD_SLOT1	WORD_SLOT2	Freq	FREQOFSLOT1	FREQOFSLOT2	RELATION	LLR	LOGODDSRATIO	MI	DELTAP1TO2	DELTAP2TO1
amuse	spreading	1	1	1	attraction	12.5714750322685	51.5489553776894	7.62935662007961	1	1
bewitch	standing	1	1	1	attraction	12.5714750322685	51.5489553776894	7.62935662007961	1	1
amaze	stopping	1	1	1	attraction	12.5714750322685	51.5489553776894	7.62935662007961	1	1
berate	working	1	1	1	attraction	12.5714750322685	51.5489553776894	7.62935662007961	1	1
ambush	laying	1	2	1	attraction	9.79888631002875	27.9778306482246	6.62935662007961	0.5	0.99492385786802
argue	producing	1	2	1	attraction	9.79888631002875	27.9778306482246	6.62935662007961	0.5	0.99492385786802
bash	respecting	1	2	1	attraction	9.79888631002875	27.9778306482246	6.62935662007961	0.5	0.99492385786802
ambush	setting	1	2	1	attraction	9.79888631002875	27.9778306482246	6.62935662007961	0.5	0.99492385786802
activate	stepping	1	2	1	attraction	9.79888631002875	27.9778306482246	6.62935662007961	0.5	0.99492385786802
annoy	wanting	1	2	1	attraction	9.79888631002875	27.9778306482246	6.62935662007961	0.5	0.99492385786802
appall	banning	1	1	2	attraction	9.79888631002866	27.8441832293062	6.62935662007961	0.99492385786802	0.5
anger	breaking	1	1	2	attraction	9.79888631002866	27.8441832293062	6.62935662007961	0.99492385786802	0.5
baffle	having	1	1	2	attraction	9.79888631002866	27.8441832293062	6.62935662007961	0.99492385786802	0.5
bargain	leaving	1	1	2	attraction	9.79888631002866	27.8441832293062	6.62935662007961	0.99492385786802	0.5
americanise	saying	1	1	2	attraction	9.79888631002866	27.8441832293062	6.62935662007961	0.99492385786802	0.5
bawl	tackling	1	1	2	attraction	9.79888631002866	27.8441832293062	6.62935662007961	0.99492385786802	0.5
befriend	telling	1	1	2	attraction	9.79888631002866	27.8441832293062	6.62935662007961	0.99492385786802	0.5
barrack	using	1	1	2	attraction	9.79888631002866	27.8441832293062	6.62935662007961	0.99492385786802	0.5
bait	confronting	1	3	1	attraction	8.75239002249965	27.2796019614212	6.04439411935845	0.333333333333333	0.989847715736041
back	endorsing	1	3	1	attraction	8.75239002249965	27.2796019614212	6.04439411935845	0.333333333333333	0.989847715736041
beg	opting	1	3	1	attraction	8.75239002249965	27.2796019614212	6.04439411935845	0.333333333333333	0.989847715736041
beg	passing	1	3	1	attraction	8.75239002249965	27.2796019614212	6.04439411935845	0.333333333333333	0.989847715736041
bait	shelling	1	3	1	attraction	8.75239002249965	27.2796019614212	6.04439411935845	0.333333333333333	0.989847715736041
alarm	rallying	1	4	1	attraction	8.07279387531806	26.8690293936224	5.62935662007961	0.25	0.984771573604061
assault	making	1	1	4	attraction	8.07279387531798	26.7353144978926	5.62935662007961	0.984771573604061	0.25
beat	confessing	2	11	2	attraction	11.8883270922792	26.4163838737078	4.15527822547791	0.181818181818182	0.95360824742268
batter	concluding	1	6	1	attraction	7.16474052587287	26.3479099201274	5.04439411935845	0.166666666666667	0.974619289340102
batter	holding	1	6	1	attraction	7.16474052587287	26.3479099201274	5.04439411935845	0.166666666666667	0.974619289340102
batter	retreating	1	6	1	attraction	7.16474052587287	26.3479099201274	5.04439411935845	0.166666666666667	0.974619289340102
bandwagon	taking	1	1	7	attraction	6.8298465762308	26.0265825245704	4.82200169802201	0.969543147208122	0.142857142857143
beat	cutting	1	11	1	attraction	5.86948089058529	25.628554760702	4.16992500144231	0.0909090909090909	0.949238578680203
belt	becoming	1	1	10	attraction	6.06981556443948	25.605286012011	4.30742852519225	0.954314720812183	0.1
bamboozle	hearing	2	25	2	attraction	8.38092339112228	25.399989880128	2.97085365434048	0.08	0.881443298969072
beguile	asserting	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
armtwist	backtracking	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
armtwist	following	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
beguile	forgetting	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
beguile	granting	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
beguile	handing	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
beguile	parting	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
beguile	responding	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
beguile	running	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
armtwist	saving	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
beguile	staying	1	18	1	attraction	4.84734544591794	25.0600416671026	3.4594316186373	0.0555555555555556	0.913705583756345
