COLLOCATE	fast	quick	rapid	swift	SUMABSDEV	LARGESTPREF
area	2.60157002903875	-1.06006878050341	-1.12734334168143	-0.654288656087625	5.44327080731122	fast
aid	2.25302573487178	-0.918046493674746	-0.976307972683356	-0.566630597579863	4.71401079880974	fast
aircraft	2.25302573487178	-0.918046493674746	-0.976307972683356	-0.566630597579863	4.71401079880974	fast
animal	2.25302573487178	-0.918046493674746	-0.976307972683356	-0.566630597579863	4.71401079880974	fast
administration	1.83958780926499	-0.749581823218117	-0.79715212162844	-0.462651945572992	3.84897369968453	fast
air	1.83958780926499	-0.749581823218117	-0.79715212162844	-0.462651945572992	3.84897369968453	fast
approaches	1.83958780926499	-0.749581823218117	-0.79715212162844	-0.462651945572992	3.84897369968453	fast
atlantic	1.83958780926499	-0.749581823218117	-0.79715212162844	-0.462651945572992	3.84897369968453	fast
atom	1.83958780926499	-0.749581823218117	-0.79715212162844	-0.462651945572992	3.84897369968453	fast
atoms	1.83958780926499	-0.749581823218117	-0.79715212162844	-0.462651945572992	3.84897369968453	fast
bacilli	1.83958780926499	-0.749581823218117	-0.79715212162844	-0.462651945572992	3.84897369968453	fast
4ft	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
8mb	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
academic	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
accumulators	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
achilles	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
act	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
advertising	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
agreements	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
albedo	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
alcohol	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
alternate	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
america	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
analysis	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
appleshare	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
arioso	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
arrows	1.30078501451938	-0.530034390251707	-0.563671670840713	-0.327144328043812	2.72163540365561	fast
