File	Left Context	Hit	Right Context
84_tagged.txt	PPIS1 hope_VV0 in_II the_AT future_NN1 I_	PPIS1 will_VM be_	VBI a_AT1 successful_JJ person_
544_tagged.txt	IO the_AT movies_NN2 ._. After_II laughing_VVG I_	PPIS1 will_VM be_	VBI in_II good_JJ mood_
875_tagged.txt	RL ._. In_RR21 addition_RR22 I_PPIS1 wish_VV0 I_	PPIS1 will_VM be_	VBI in_II business_NN1 school_
916_tagged.txt	PPHS1 also_RR is_VBZ similar_JJ aged_JJ ._. We_	PPIS2 will_VM be_	VBI here_RL in_II next_
1090_tagged.txt	VV0 to_TO bake_VVI or_CC cook_VVI I_	PPIS1 will_VM be_	VBI a_AT1 crazy_JJ person_
1171_tagged.txt	TO do_VDI study_NN1 and_CC work_VV0 I_	PPIS1 will_VM be_	VBI able_JK to_TO get_
1183_tagged.txt	AT1 impressive_JJ from_II a_AT1 distance_NN1 ._. I_	PPIS1 will_VM be_	VBI beak_NN1 in_II moment_
1358_tagged.txt	CS I_PPIS1 win_VV0 these_DD2 elections_NN2 I_	PPIS1 will_VM be_	VBI the_AT one_PN1 who_
1454_tagged.txt	IO you_PPY are_VBR doubting_VVG what_DDQ I_	PPIS1 will_VM be_	VBI doing_VDG if_CS become_
1595_tagged.txt	PPIS2 continue_VV0 fast_JJ food_NN1 habit_NN1 we_	PPIS2 will_VM be_	VBI fat_JJ obeze_NN1 people_
1673_tagged.txt	JJ from_II my_APPGE country_NN1 ._. Hopefully_RR I_	PPIS1 will_VM be_	VBI able_JK to_TO feel_
1890_tagged.txt	VVI me_PPIO1 feel_NN1% great_JJ because_CS I_	PPIS1 will_VM be_	VBI experiencing_VVG my_APPGE dream_
2019_tagged.txt	RR if_CS someone_PN1 only_JJ thinks_NN1 I_	PPIS1 will_VM be_	VBI better_RRR next_MD time_
2155_tagged.txt	VM get_VVI really_RR healthy_JJ body_NN1 ._. I_	PPIS1 will_VM be_	VBI strong_JJ and_CC then_
2231_tagged.txt	VM get_VVI really_RR healthy_JJ body_NN1 ._. I_	PPIS1 will_VM be_	VBI strong_JJ and_CC then_
2475_tagged.txt	APPGE ski_NN1 trip_NN1 last_MD Friday_NPD1 ._. I_	PPIS1 will_VM be_	VBI writing_VVG more_RRR about_
2586_tagged.txt	VHI healthy_JJ body_NN1 ._. It_PPH1 means_VVZ I_	PPIS1 will_VM be_	VBI a_AT1 strong_JJ person_
2586_tagged.txt	IW my_APPGE healthy_JJ because_CS when_CS I_	PPIS1 will_VM be_	VBI active_JJ I_PPIS1 will_
2586_tagged.txt	CS I_PPIS1 will_VM be_VBI active_JJ I_	PPIS1 will_VM be_	VBI enthusiastic_JJ to_TO do_
2589_tagged.txt	CS I_PPIS1 have_VH0 a_AT1 bad_JJ I_	PPIS1 will_VM be_	VBI able_JK to_TO sleep_
2589_tagged.txt	VM eat_VVI vegetable_NN1 everyday_JJ so_CS@ I_	PPIS1 will_VM be_	VBI on_II a_AT1 diet_
2772_tagged.txt	APPGE room_NN1 is_VBZ so_RG warm_JJ I_	PPIS1 will_VM be_	VBI sleepy_JJ ._. Sometimes_RT I_
2796_tagged.txt	VVN how_RRQ they_PPHS2 know_VV0 that_CST I_	PPIS1 will_VM be_	VBI in_II this_DD1 day_
2805_tagged.txt	AT1 healthy_JJ body_NN1 ._. It_PPH1 means_VVZ I_	PPIS1 will_VM be_	VBI a_AT1 strong_JJ person_
2805_tagged.txt	NN2 and_CC my_APPGE career_NN1 ._. After_CS I_	PPIS1 will_VM be_	VBI a_AT1 strong_JJ person_
3211_tagged.txt	I_	PPIS1 will_VM be_	VBI happy_JJ if_CS I_
3376_tagged.txt	APPGE ancestor_NN1 the_AT sand_NN1 !_! !_! Whom_PNQO I_	PPIS1 will_VM be_	VBI one_MC1 day_NNT1 ._. 
3563_tagged.txt	APPGE opinion_NN1 for_IF those_DD2 cars_NN2 I_	PPIS1 will_VM be_	VBI happy_JJ ._. Love_VV0 
3584_tagged.txt	CS you_PPY recommend_VV0 one_MC1 thing_NN1 I_	PPIS1 will_VM be_	VBI more_RGR easy_JJ to_
3919_tagged.txt	VVI like_II them_PPHO2 for_IF me_PPIO1 I_	PPIS1 will_VM be_	VBI noticeable_JJ if_CS I_
3919_tagged.txt	JJ dress_NN1 in_II US_NP1 and_CC I_	PPIS1 will_VM be_	VBI different_JJ from_II others_
4591_tagged.txt	CS I_PPIS1 pass_VV0 the_AT test_NN1 I_	PPIS1 will_VM be_	VBI able_JK to_TO find_
4775_tagged.txt	home_NN1 at_II 6_MC 00PM_RA so_CS@ we_	PPIS2 will_VM be_	VBI good_JJ for_IF us_
5077_tagged.txt	NN2 ._. I_PPIS1 think_VV0 this_DD1 weekend_NNT1 I_	PPIS1 will_VM be_	VBI very_RG busy_JJ but_
5479_tagged.txt	APPGE brain_NN1 ._. I_PPIS1 thought_VVD when_RRQ I_	PPIS1 will_VM be_	VBI older_JJR I_PPIS1 will_
5546_tagged.txt	VBI really_RR physical_JJ that_CST is_VBZ we_	PPIS2 will_VM be_	VBI beaten_VVN hard_RR when_
5585_tagged.txt	JJ score_NN1 on_II each_DD1 subject_NN1 I_	PPIS1 will_VM be_	VBI punished_VVN ._. After_CS I_
5600_tagged.txt	VBI really_RR physical_JJ that_CST is_VBZ we_	PPIS2 will_VM be_	VBI beaten_VVN hard_RR when_
5636_tagged.txt	JJ score_NN1 on_II each_DD1 subject_NN1 I_	PPIS1 will_VM be_	VBI punished_VVN ._. After_CS I_
5667_tagged.txt	JJ score_NN1 on_II each_DD1 subject_NN1 I_	PPIS1 will_VM be_	VBI punished_VVN ._. After_CS I_
5706_tagged.txt	VBI really_RR physical_JJ that_CST is_VBZ we_	PPIS2 will_VM be_	VBI beaten_VVN hard_RR when_
6399_tagged.txt	I_	PPIS1 will_VM be_	VBI preparing_VVG a_AT1 side_
6776_tagged.txt	I_	PPIS1 will_VM be_	VBI angry_JJ if_CS my_
6782_tagged.txt	I_	PPIS1 will_VM be_	VBI angly_RR with_IW him_
6826_tagged.txt	TO achieve_VVI his_APPGE objective_NN1 ._. Also_RR I_	PPIS1 will_VM be_	VBI happy_JJ when_CS I_
6872_tagged.txt	CC act_VVI global_JJ ._. And_CC then_RT I_	PPIS1 will_VM be_	VBI ready_JJ to_TO be_
7050_tagged.txt	RR I_PPIS1 would_VM like_VVI say_VV0 I_	PPIS1 will_VM be_	VBI happy_JJ if_CS I_
7331_tagged.txt	Yes_UH !_! !_! I_	PPIS1 will_VM be_	VBI quiet_JJ ._. 
7698_tagged.txt	CC act_VVI global_JJ ._. And_CC then_RT I_	PPIS1 will_VM be_	VBI ready_JJ to_TO be_
7714_tagged.txt	PPIS1 learn_VV0 English_NN1 in_II Pittsburgh_NP1 I_	PPIS1 will_VM be_	VBI able_JK to_TO read_
7719_tagged.txt	RP to_II Korea_NP1 ._. Next_MD year_NNT1 I_	PPIS1 will_VM be_	VBI senior_JJ in_II Yong_
7738_tagged.txt	PPIS1 could_VM do_VDI everything_PN1 ._. Finally_RR I_	PPIS1 will_VM be_	VBI with_IW my_APPGE family_
7743_tagged.txt	VBI a_AT1 good_JJ wife_NN1 but_CCB I_	PPIS1 will_VM be_	VBI a_AT1 good_JJ mother_
7762_tagged.txt	NN1 or_CC a_AT1 credit_NN1 card_NN1 ._. I_	PPIS1 will_VM be_	VBI going_VVG home_RL after_
7793_tagged.txt	NN2 in_II the_AT U._NP1 S._NP1 I_	PPIS1 will_VM be_	VBI done_VDN the_AT courses_
8181_tagged.txt	NN1 ._. If_CS I_PPIS1 see_VV0 it_PPH1 I_	PPIS1 will_VM be_	VBI very_RG happy_JJ ._. 
8392_tagged.txt	NN1 here_RL is_VBZ clear_JJ that_CST I_	PPIS1 will_VM be_	VBI humble_JJ and_CC will_
8691_tagged.txt	NN1 in_II Eli_NP1 ._. I_PPIS1 hope_VV0 I_	PPIS1 will_VM be_	VBI accepted_VVN by_II University_
8983_tagged.txt	JJ ._. What_DDQ should_VM I_PPIS1 do_VDI ?_? I_	PPIS1 will_VM be_	VBI homeless_JJ ?_? I_PPIS1 really_
9058_tagged.txt	MC1 semester_NN1 of_IO studying_VVG English_NN1 I_	PPIS1 will_VM be_	VBI able_JK to_TO start_
9080_tagged.txt	VBR also_RR good_JJ for_IF health_NN1 ._. We_	PPIS2 will_VM be_	VBI relaxing_VVG when_RRQ we_
9083_tagged.txt	JJ ._. What_DDQ should_VM I_PPIS1 do_VDI ?_? I_	PPIS1 will_VM be_	VBI homeless_JJ ?_? I_PPIS1 really_
9104_tagged.txt	MC1 semester_NN1 of_IO studying_VVG English_NN1 I_	PPIS1 will_VM be_	VBI able_JK to_TO start_
9663_tagged.txt	II hospital_NN1 too_RR@ ._. I_PPIS1 wish_VV0 we_	PPIS2 will_VM be_	VBI getting_VVG better_RRR soon_
11265_tagged.txt	VDD you_PPY hear_VVI children_NN2 said_VVD I_	PPIS1 will_VM be_	VBI a_AT1 doctor_NN1 when_
11265_tagged.txt	CS I_PPIS1 will_VM grow_VVI up_RP I_	PPIS1 will_VM be_	VBI a_AT1 pilot_NN1 when_
11268_tagged.txt	VH0 you_PPY heard_VVN children_NN2 said_VVD I_	PPIS1 will_VM be_	VBI a_AT1 doctor_NN1 when_
11268_tagged.txt	NN1 when_CS I_PPIS1 grow_VV0 up_RP I_	PPIS1 will_VM be_	VBI a_AT1 pilot_NN1 when_
11460_tagged.txt	VM go_VVI to_II a_AT1 market_NN1 I_	PPIS1 will_VM be_	VBI able_JK to_TO buy_
11567_tagged.txt	NN1 cost_NN1 and_CC convenience_NN1 as_CSA we_	PPIS2 will_VM be_	VBI discussing_VVG each_DD1 of_
11646_tagged.txt	NN1 ._. In_II this_DD1 research_NN1 paper_NN1 I_	PPIS1 will_VM be_	VBI investigating_VVG the_AT causes_
11845_tagged.txt	VVG for_IF me_PPIO1 on_II Wednesday_NPD1 ?_? I_	PPIS1 will_VM be_	VBI able_JK to_TO work_
11864_tagged.txt	RR to_II my_APPGE party_NN1 today_RT ?_? I_	PPIS1 will_VM be_	VBI very_RG happy_JJ to_
12229_tagged.txt	II this_DD1 sities_VVZ ._. After_CS that_CST we_	PPIS2 will_VM be_	VBI coming_VVG back_RP home_
12356_tagged.txt	VV0 i_MC1 am_RA@ a_AT1 judger_NN1 ._. I_	PPIS1 will_VM be_	VBI going_VVG to_II Austin_
12401_tagged.txt	PPIS1 am_VBM not_XX sure_JJ that_CST I_	PPIS1 will_VM be_	VBI here_RL to_TO enjoy_
12729_tagged.txt	II21 of_II22 your_APPGE helpful_JJ presentation_NN1 I_	PPIS1 will_VM be_	VBI able_JK to_TO make_
13083_tagged.txt	RG interesting_JJ for_IF me_PPIO1 because_CS I_	PPIS1 will_VM be_	VBI one_MC1 of_IO the_
13099_tagged.txt	CS I_PPIS1 get_VV0 the_AT job_NN1 I_	PPIS1 will_VM be_	VBI direct_JJ contact_NN1 with_
13165_tagged.txt	n't_XX touch_VVI the_AT sand_NN1 I_	PPIS1 will_VM be_	VBI you_PPY man_VV0% this_
13260_tagged.txt	NN1 training_NN1 ._. Also_RR in_II USA_NP1 I_	PPIS1 will_VM be_	VBI allowed_VVN to_TO@ work_
13260_tagged.txt	TO@ work_VVI in_II hospital_NN1 and_CC I_	PPIS1 will_VM be_	VBI payed_VVN@ for_IF my_
13260_tagged.txt	AT American_JJ Board_NN1 in_II medicine_NN1 I_	PPIS1 will_VM be_	VBI allowed_VVN to_TO@ work_
13311_tagged.txt	NN1 Program_NN1 so_CS@ I_PPIS1 think_VV0 I_	PPIS1 will_VM be_	VBI very_RG busy_JJ in_
14282_tagged.txt	I_	PPIS1 will_VM be_	VBI able_JK to_TO context_
14433_tagged.txt	JJ for_IF my_APPGE education_NN1 ._. If_CS I_	PPIS1 will_VM be_	VBI type_NN1 well_RR I_
14457_tagged.txt	APPGE post_NN1 doctorial_JJ degree_NN1 ._. Then_RT I_	PPIS1 will_VM be_	VBI a_AT1 young_JJ and_
14458_tagged.txt	II obtaining_VVG my_APPGE Ph_NN1 ._. D._NP1 I_	PPIS1 will_VM be_	VBI extracting_VVG DNA_NN1 RNA_
14465_tagged.txt	IF a_AT1 year_NNT1 next_MD September_NPM1 I_	PPIS1 will_VM be_	VBI happy_JJ looking_VVG back_
14465_tagged.txt	CST I_PPIS1 have_VH0 achieved_VVN ._. Futhermore_NN1 I_	PPIS1 will_VM be_	VBI buoyant_JJ and_CC optimistic_
14465_tagged.txt	PPIS1 have_VH0 aimed_VVN for_IF ._. Also_RR I_	PPIS1 will_VM be_	VBI offered_VVN a_AT1 regular_
14649_tagged.txt	VM watch_VVI the_AT my_APPGE ucc_NN1 ._. I_	PPIS1 will_VM be_	VBI excited_VVN@ ._. 
14676_tagged.txt	NN1@ is_VBZ we_PPIS2 appreciate_VV0 that_CST we_	PPIS2 will_VM be_	VBI able_JK to_TO eat_
14701_tagged.txt	PPY go_VV0 to_II some_DD place_NN1 ._. We_	PPIS2 will_VM be_	VBI boring_JJ ._. We_PPIS2 need_
15113_tagged.txt	I_	PPIS1 will_VM be_	VBI meeting_VVG with_IW students_
15123_tagged.txt	JJ because_CS I_PPIS1 think_VV0 if_CS I_	PPIS1 will_VM be_	VBI capable_JJ to_TO understand_
15454_tagged.txt	VH0 a_AT1 final_JJ test_NN1 soon_RR ._. I_	PPIS1 will_VM be_	VBI busy_JJ the_AT time_
15465_tagged.txt	CS I_PPIS1 follow_VV0 these_DD2 tips_NN2 I_	PPIS1 will_VM be_	VBI able_JK to_TO improve_
15520_tagged.txt	AT1 murder_NN1 ._. Before_CS I_PPIS1 die_VV0 I_	PPIS1 will_VM be_	VBI sure_JJ to_TO do_
15585_tagged.txt	CS@ I_PPIS1 have_VH0 a_AT1 test_NN1 I_	PPIS1 will_VM be_	VBI nervous_JJ ._. 9._MC before_RT 
15585_tagged.txt	n't_XX have_VHI any_DD money_NN1 I_	PPIS1 will_VM be_	VBI fine_JJ ._. 
15593_tagged.txt	n't_XX give_VVI me_PPIO1 homework_NN1 I_	PPIS1 will_VM be_	VBI free_JJ on_II weekend_
15666_tagged.txt	VBM a_AT1 student_NN1 right_RR now_RT I_	PPIS1 will_VM be_	VBI a_AT1 good_JJ worker_
15668_tagged.txt	VV0 good_JJ grade_NN1 in_II Tofel_NP1 I_	PPIS1 will_VM be_	VBI able_JK to_TO apply_
15670_tagged.txt	MC ._. Although_CS I_PPIS1 am_VBM rich_JJ I_	PPIS1 will_VM be_	VBI nice_JJ and_CC friendly_
15763_tagged.txt	PPIS2 do_VD0 not_XX have_VHI match_NN1 we_	PPIS2 will_VM be_	VBI dying_VVG for_IF cold_
15781_tagged.txt	VBI useful_JJ ?_? B_ZZ1 Of_RR21 course_RR22 ._. We_	PPIS2 will_VM be_	VBI able_JK to_TO make_
16173_tagged.txt	NPD1 night_NNT1 ._. Finally_RR this_DD1 weekend_NNT1 I_	PPIS1 Will_VM be_	VBI very_RG busy_JJ ._. 
16438_tagged.txt	VVI me_PPIO1 by_II e_ZZ1 mail_NN1 ._. We_	PPIS2 will_VM be_	VBI good_JJ friends_NN2 ._. 
16797_tagged.txt	NN1 which_DDQ determines_VVZ how_RRQ happy_JJ we_	PPIS2 will_VM be_	VBI is_VBZ how_RRQ difficult_
16802_tagged.txt	VBDZ hard_JJ for_IF me_PPIO1 because_CS I_	PPIS1 will_VM be_	VBI away_II21 from_II22 my_
17388_tagged.txt	AT1 Internet_NN1 might_VM not_XX work_VVI ._. We_	PPIS2 will_VM be_	VBI on_II a_AT1 desert_
17501_tagged.txt	VBI easy_JJ ._. I_PPIS1 hope_VV0 that_CST I_	PPIS1 will_VM be_	VBI accepted_VVN soon_RR ._. I_
17835_tagged.txt	PPIS1 finish_VV0 ELI_NP1 's_GE levels_NN2 I_	PPIS1 will_VM be_	VBI eligible_JJ to_TO take_
17881_tagged.txt	PPIS1 get_VV0 the_AT GRE_NP1 exams_NN2 I_	PPIS1 will_VM be_	VBI eligible_JJ to_TO apply_
17962_tagged.txt	VBR from_II different_JJ countries_NN2 ._. Also_RR I_	PPIS1 will_VM be_	VBI able_JK to_TO work_
18039_tagged.txt	JK to_TO organize_VVI our_APPGE time_NNT1 we_	PPIS2 will_VM be_	VBI unable_JK to_TO reach_
18560_tagged.txt	II gym_NN1 Be_VBI sure_JJ that_CST I_	PPIS1 will_VM be_	VBI there_RL to_TO take_
18877_tagged.txt	NN1 any_DD time_NNT1 you_PPY want_VV0 I_	PPIS1 will_VM be_	VBI happy_JJ with_IW that_
18931_tagged.txt	RP my_APPGE company_NN1 ._. In_RR21 addition_RR22 I_	PPIS1 will_VM be_	VBI live_RR@ my_APPGE passion_
19039_tagged.txt	JJ language_NN1 ._. By_II learning_VVG English_NN1 I_	PPIS1 will_VM be_	VBI able_JK to_TO understand_
19090_tagged.txt	MC terms_NN2 in_II the_AT ELI_NN1 I_	PPIS1 will_VM be_	VBI an_AT1 expert_NN1 at_
19429_tagged.txt	NN government_NN1 and_CC the_AT children_NN2 ._. We_	PPIS2 will_VM be_	VBI able_JK to_TO live_
19477_tagged.txt	NN1 from_II the_AT sea_NN1 ._. Although_CS I_	PPIS1 will_VM be_	VBI very_RG busy_JJ with_
19543_tagged.txt	NN government_NN1 and_CC the_AT children_NN2 ._. We_	PPIS2 will_VM be_	VBI able_JK to_TO live_
19654_tagged.txt	NN1 ?_? We_PPIS2 sometimes_RT dream_VV0 that_CST we_	PPIS2 will_VM be_	VBI the_AT one_PN1 who_
19844_tagged.txt	I_	PPIS1 will_VM be_	VBI able_JK to_TO reserve_
19866_tagged.txt	I_	PPIS1 will_VM be_	VBI running_VVG on_II the_
20085_tagged.txt	II women_NN2 's_GE body_NN1 and_CC I_	PPIS1 will_VM be_	VBI not_XX go_VV0 out_
20178_tagged.txt	NN1 in_II the_AT art_NN1 gallery_NN1 I_	PPIS1 will_VM be_	VBI happy_JJ ._. 
20237_tagged.txt	n't_XX give_VV0 me_PPIO1 grade_NN1 I_	PPIS1 will_VM be_	VBI fail_NN1% ._. 
20289_tagged.txt	NP1 find_VV0 organization_NN1 ._. Even_CS21 though_CS22 I_	PPIS1 will_VM be_	VBI traveling_VVG I_PPIS1 will_
20295_tagged.txt	VBZ obvious_JJ after_II the_AT semester_NN1 I_	PPIS1 will_VM be_	VBI busy_JJ ._. I_PPIS1 will_
20299_tagged.txt	After_CS this_DD1 semester_NN1 I_	PPIS1 will_VM be_	VBI still_RR in_II Pittsburgh_
20311_tagged.txt	TO improve_VVI my_APPGE programing_JJ@ skills_NN2 ._. I_	PPIS1 will_VM be_	VBI very_RG happy_JJ if_
20482_tagged.txt	PPIS1 can_VM have_VHI them_PPHO2 both_RR I_	PPIS1 will_VM be_	VBI very_RG lucky_JJ ._. 
20861_tagged.txt	VVG me_PPIO1 ._. I_PPIS1 think_VV0 that_CST we_	PPIS2 will_VM be_	VBI best_JJT friends_NN2 forever_
