Construction	Verb
DITRANSITIVE	deal
DITRANSITIVE	lose
DITRANSITIVE	lose
DITRANSITIVE	owe
DITRANSITIVE	owe
DITRANSITIVE	owe
DITRANSITIVE	owe
DITRANSITIVE	owe
DITRANSITIVE	owe
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	send
DITRANSITIVE	allocate
DITRANSITIVE	allocate
DITRANSITIVE	allocate
DITRANSITIVE	allocate
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	get
DITRANSITIVE	charge
DITRANSITIVE	charge
DITRANSITIVE	charge
DITRANSITIVE	charge
DITRANSITIVE	drop
DITRANSITIVE	drop
DITRANSITIVE	drop
DITRANSITIVE	cause
DITRANSITIVE	cause
DITRANSITIVE	cause
DITRANSITIVE	cause
DITRANSITIVE	cause
DITRANSITIVE	cause
DITRANSITIVE	cause
DITRANSITIVE	cause
DITRANSITIVE	grant
DITRANSITIVE	grant
DITRANSITIVE	grant
DITRANSITIVE	grant
DITRANSITIVE	grant
DITRANSITIVE	award
DITRANSITIVE	award
DITRANSITIVE	award
DITRANSITIVE	award
DITRANSITIVE	award
DITRANSITIVE	award
DITRANSITIVE	award
DITRANSITIVE	deny
DITRANSITIVE	deny
DITRANSITIVE	deny
DITRANSITIVE	deny
DITRANSITIVE	deny
DITRANSITIVE	deny
DITRANSITIVE	deny
DITRANSITIVE	deny
DITRANSITIVE	promise
DITRANSITIVE	promise
DITRANSITIVE	promise
DITRANSITIVE	promise
DITRANSITIVE	promise
DITRANSITIVE	promise
DITRANSITIVE	promise
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	ask
DITRANSITIVE	wish
DITRANSITIVE	wish
DITRANSITIVE	wish
DITRANSITIVE	wish
DITRANSITIVE	wish
DITRANSITIVE	wish
DITRANSITIVE	wish
DITRANSITIVE	wish
DITRANSITIVE	wish
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
DITRANSITIVE	teach
